"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","189","Get current user details without access token failure","tests.users","2026-07-24","passed","2026-07-24","TestGetMe","test_get_me","",""
"","144","Get random character success","tests.random","2026-07-24","passed","2026-07-24","TestGetRandomCharacter","test_get_random_character","",""
"","365","Get character by id success","tests.characters","2026-07-24","passed","2026-07-24","TestGetCharacterById","test_get_character_by_id","",""
"","190","Get list of users by username success","tests.users","2026-07-24","passed","2026-07-24","TestGetUsers","test_get_users","",""
"","174","Get character by unexisting id failure","tests.characters","2026-07-24","passed","2026-07-24","TestGetCharacterById","test_get_character_by_id","",""
"","325","Update user details success","tests.users","2026-07-24","passed","2026-07-24","TestUpdateUser","test_update_user","",""
"","181","Update user details without access token failure","tests.users","2026-07-24","passed","2026-07-24","TestUpdateUser","test_update_user","",""
"","202","Get unexisting user auth tokens failure","tests.tokens","2026-07-24","passed","2026-07-24","TestGetUserAuthToken","test_get_user_auth_token","",""
"","818","Create user success","tests.users","2026-07-24","passed","2026-07-24","TestCreateUser","test_create_user","",""
"","188","Get character by id success","tests.characters","2026-07-24","passed","2026-07-24","TestGetCharacterById","test_get_character_by_id","",""
"","336","Get user auth tokens success","tests.tokens","2026-07-24","passed","2026-07-24","TestGetUserAuthToken","test_get_user_auth_token","",""
"","175","Get current user details success","tests.users","2026-07-24","passed","2026-07-24","TestGetMe","test_get_me","",""
"","425","Create user with existing username failure","tests.users","2026-07-24","passed","2026-07-24","TestCreateUser","test_create_user","",""
"","382","Get list of characters success","tests.characters","2026-07-24","passed","2026-07-24","TestGetCharacters","test_get_characters","",""
"","350","Get character by id success","tests.characters","2026-07-24","passed","2026-07-24","TestGetCharacterById","test_get_character_by_id","",""
